student_id,age,gender,class_grade,school_type,attendance_percentage,math_score,science_score,english_score,social_science_score,previous_grade_percentage,study_hours_per_day,homework_completion,learning_difficulty,internet_access,digital_device,parent_education,parent_occupation,annual_family_income,family_size,distance_to_school_km,transportation,scholarship_received,mentoring_support,extracurricular_participation,health_issue,dropout_history_in_family,motivation_level,teacher_assessment,Target
1,11,Other,5,NGO,85.8,61,58,47,43,54,5.4,36.1,No,Yes,None,None,Service,154629,3,6.8,Bicycle,Yes,Yes,Yes,Yes,No,High,Low,On Track
2,15,Other,9,Government,53.6,73,43,41,78,54.7,5.2,72.3,Yes,No,None,Graduate,Farmer,81313,7,3.6,Bicycle,No,No,Yes,Yes,Yes,High,Low,At Risk
3,16,Other,9,Government,69.9,76,50,77,75,66.6,2,95.6,Yes,Yes,Shared Phone,Primary,Self-employed,282357,8,11.6,Walk,No,No,Yes,Yes,No,High,High,On Track
4,16,Other,9,Private,48.6,70,57,93,80,78.8,4,40,Yes,Yes,Smartphone,Graduate,Farmer,345939,8,0.9,Walk,No,No,Yes,Yes,No,Low,Low,At Risk
5,11,Other,11,Private,66,89,97,62,100,90.6,0.6,80.5,No,No,None,Secondary,Labourer,267942,6,13.7,Bus,No,Yes,No,Yes,Yes,Low,High,At Risk
6,15,Male,7,NGO,74.7,97,30,71,92,67.7,5.6,91.5,No,Yes,None,Primary,Labourer,337458,3,10,Bus,Yes,Yes,Yes,No,No,High,Medium,On Track
7,13,Female,8,Government,84.2,81,77,86,96,84.5,1.9,34.5,Yes,Yes,Shared Phone,None,Labourer,77220,4,10.1,Walk,Yes,Yes,Yes,No,Yes,Low,Low,At Risk
8,17,Female,11,Government,55.5,42,85,75,84,70.6,5.3,33.8,Yes,Yes,Laptop,Secondary,Service,97288,3,4.3,Walk,Yes,Yes,Yes,No,Yes,Low,High,At Risk
9,10,Other,5,NGO,98.3,60,51,82,92,71.1,5.3,93.2,Yes,No,None,Graduate,Service,179042,3,3,Walk,No,No,Yes,Yes,No,Medium,High,On Track
10,10,Female,5,NGO,77.1,94,97,50,37,74.1,0.9,43,Yes,Yes,Laptop,None,Self-employed,338673,4,3.2,Bus,Yes,Yes,No,Yes,No,High,Low,On Track
11,16,Female,7,Government,81.9,68,88,70,39,61.3,3.9,69.4,Yes,Yes,Shared Phone,Secondary,Service,109445,8,8.2,Bicycle,Yes,No,Yes,No,Yes,Low,Medium,On Track
12,12,Female,9,Government,51.3,43,100,49,64,61.8,1.7,54,No,No,Smartphone,None,Self-employed,88390,3,11.2,Bus,No,No,No,Yes,Yes,Low,Low,At Risk
13,11,Male,7,Government,75,77,100,48,85,73.8,2.2,92.9,Yes,No,Shared Phone,Primary,Labourer,93893,8,12.2,Bicycle,No,No,Yes,Yes,No,High,High,On Track
14,16,Female,8,Private,59.7,43,78,34,90,58.5,5,62.2,No,Yes,Shared Phone,None,Service,141255,7,14.7,Bus,No,No,No,Yes,Yes,Medium,Low,At Risk
